customer_id,rep_id,visit_date,purpose,mentions_competitor
C1000,L113,2025-02-09,產品推廣,0
C1000,L113,2025-04-09,產品推廣,0
C1000,L113,2025-04-13,關係維護,0
C1000,L113,2025-06-05,關係維護,0
C1000,L113,2025-06-23,產品推廣,0
C1000,L113,2025-08-10,產品推廣,0
C1000,L113,2025-09-27,收款,0
C1000,L113,2025-11-08,產品推廣,0
C1000,L113,2026-01-26,關係維護,0
C1000,L113,2026-02-27,產品推廣,0
C1000,L113,2026-02-03,產品推廣,0
C1000,L113,2026-05-29,產品推廣,0
C1000,L113,2026-07-03,產品推廣,0
C1001,L108,2025-02-24,關係維護,0
C1001,L108,2025-02-26,產品推廣,0
C1001,L108,2025-03-12,關係維護,0
C1001,L108,2025-03-18,客訴處理,0
C1001,L108,2025-05-01,產品推廣,0
C1001,L108,2025-04-25,客訴處理,0
C1001,L108,2025-05-25,產品推廣,0
C1001,L108,2025-05-13,關係維護,0
C1001,L108,2025-05-09,關係維護,0
C1001,L108,2025-07-04,產品推廣,0
C1001,L108,2025-07-10,關係維護,0
C1001,L108,2025-08-07,關係維護,0
C1001,L108,2025-08-07,收款,0
C1001,L108,2025-09-26,產品推廣,0
C1001,L108,2025-09-20,關係維護,0
C1001,L108,2025-10-18,關係維護,0
C1001,L108,2025-11-24,產品推廣,0
C1001,L108,2026-01-16,收款,0
C1001,L108,2026-02-22,關係維護,0
C1001,L108,2026-03-25,產品推廣,0
C1001,L108,2026-04-10,產品推廣,0
C1001,L108,2026-04-20,客訴處理,0
C1001,L108,2026-06-02,關係維護,0
C1001,L108,2026-06-10,產品推廣,0
C1001,L108,2026-07-12,產品推廣,0
C1002,L107,2025-02-23,關係維護,0
C1002,L107,2025-07-01,客訴處理,0
C1002,L107,2025-07-16,產品推廣,0
C1002,L107,2026-01-29,產品推廣,0
C1002,L107,2026-03-10,收款,0
C1002,L107,2026-04-25,產品推廣,0
C1002,L107,2026-07-26,客訴處理,0
C1003,L107,2025-02-20,關係維護,0
C1003,L107,2025-02-20,產品推廣,0
C1003,L107,2025-03-12,產品推廣,0
C1003,L107,2025-03-21,產品推廣,0
C1003,L107,2025-05-27,產品推廣,0
C1003,L107,2025-06-25,產品推廣,0
C1003,L107,2025-08-27,產品推廣,0
C1003,L107,2025-09-25,客訴處理,0
C1003,L107,2025-09-12,產品推廣,0
C1003,L107,2025-11-20,關係維護,0
C1003,L107,2026-03-26,關係維護,0
C1003,L107,2026-03-30,關係維護,0
C1003,L107,2026-03-29,產品推廣,0
C1003,L107,2026-06-11,收款,0
C1003,L107,2026-06-08,產品推廣,0
C1003,L107,2026-06-30,收款,0
C1004,L107,2025-03-05,產品推廣,0
C1004,L107,2025-02-25,收款,0
C1004,L107,2025-02-16,產品推廣,0
C1004,L107,2025-02-14,產品推廣,0
C1004,L107,2025-03-14,產品推廣,0
C1004,L107,2025-03-22,產品推廣,0
C1004,L107,2025-04-11,產品推廣,0
C1004,L107,2025-05-03,收款,0
C1004,L107,2025-04-11,關係維護,0
C1004,L107,2025-05-12,產品推廣,0
C1004,L107,2025-05-09,產品推廣,0
C1004,L107,2025-05-27,產品推廣,0
C1004,L107,2025-05-11,產品推廣,0
C1004,L107,2025-06-28,產品推廣,0
C1004,L107,2025-06-14,關係維護,0
C1004,L107,2025-07-01,產品推廣,0
C1004,L107,2025-07-16,產品推廣,0
C1004,L107,2025-07-10,產品推廣,0
C1004,L107,2025-07-09,產品推廣,0
C1004,L107,2025-07-11,產品推廣,0
C1004,L107,2025-07-30,產品推廣,0
C1004,L107,2025-08-23,關係維護,0
C1004,L107,2025-08-10,產品推廣,0
C1004,L107,2025-08-21,產品推廣,0
C1004,L107,2025-09-28,產品推廣,0
C1004,L107,2025-10-31,關係維護,0
C1004,L107,2025-10-24,產品推廣,0
C1004,L107,2025-10-08,關係維護,0
C1004,L107,2025-10-11,產品推廣,0
C1004,L107,2025-11-05,產品推廣,0
C1004,L107,2025-12-19,產品推廣,0
C1004,L107,2025-12-17,客訴處理,0
C1004,L107,2026-01-22,關係維護,0
C1004,L107,2026-01-09,關係維護,0
C1004,L107,2026-01-21,產品推廣,0
C1004,L107,2026-01-03,產品推廣,0
C1004,L107,2026-02-23,產品推廣,0
C1004,L107,2026-02-21,產品推廣,0
C1004,L107,2026-02-02,產品推廣,0
C1004,L107,2026-03-01,產品推廣,0
C1004,L107,2026-02-07,產品推廣,0
C1004,L107,2026-02-15,收款,0
C1004,L107,2026-02-23,產品推廣,0
C1004,L107,2026-03-31,產品推廣,0
C1004,L107,2026-03-04,產品推廣,0
C1004,L107,2026-03-18,關係維護,0
C1004,L107,2026-03-20,關係維護,0
C1004,L107,2026-03-11,關係維護,0
C1004,L107,2026-04-15,收款,0
C1004,L107,2026-04-29,關係維護,0
C1004,L107,2026-05-06,產品推廣,0
C1004,L107,2026-06-10,產品推廣,0
C1004,L107,2026-06-21,產品推廣,0
C1004,L107,2026-06-24,產品推廣,0
C1004,L107,2026-07-29,產品推廣,0
C1004,L107,2026-07-20,產品推廣,0
C1005,L100,2025-03-27,產品推廣,0
C1005,L100,2025-04-19,產品推廣,0
C1005,L100,2025-06-15,產品推廣,0
C1005,L100,2025-06-14,關係維護,0
C1005,L100,2025-07-12,收款,0
C1005,L100,2025-08-25,產品推廣,0
C1005,L100,2025-08-09,產品推廣,0
C1005,L100,2025-09-09,產品推廣,0
C1005,L100,2025-09-30,產品推廣,0
C1005,L100,2025-10-23,產品推廣,0
C1005,L100,2025-10-15,關係維護,0
C1005,L100,2025-10-23,產品推廣,0
C1005,L100,2025-12-24,產品推廣,0
C1005,L100,2025-12-25,產品推廣,0
C1005,L100,2026-01-01,產品推廣,0
C1005,L100,2025-12-10,收款,0
C1005,L100,2025-12-11,產品推廣,0
C1005,L100,2026-02-08,產品推廣,0
C1005,L100,2026-03-15,產品推廣,0
C1005,L100,2026-03-10,收款,0
C1005,L100,2026-04-07,產品推廣,0
C1005,L100,2026-04-12,關係維護,0
C1005,L100,2026-05-09,產品推廣,0
C1005,L100,2026-05-16,產品推廣,0
C1005,L100,2026-06-24,產品推廣,0
C1005,L100,2026-07-07,關係維護,0
C1006,L106,2025-02-24,產品推廣,0
C1006,L106,2025-02-16,關係維護,0
C1006,L106,2025-02-07,產品推廣,0
C1006,L106,2025-03-03,產品推廣,0
C1006,L106,2025-02-22,關係維護,0
C1006,L106,2025-05-06,產品推廣,0
C1006,L106,2025-06-23,產品推廣,0
C1006,L106,2025-07-22,關係維護,0
C1006,L106,2025-08-14,關係維護,0
C1006,L106,2025-08-14,產品推廣,0
C1006,L106,2025-08-19,關係維護,0
C1006,L106,2025-09-09,產品推廣,0
C1006,L106,2025-10-17,產品推廣,0
C1006,L106,2025-12-01,產品推廣,0
C1006,L106,2025-11-15,收款,0
C1006,L106,2025-12-04,關係維護,0
C1006,L106,2025-12-27,產品推廣,0
C1006,L106,2025-12-08,產品推廣,0
C1006,L106,2026-01-29,關係維護,0
C1006,L106,2026-03-20,關係維護,0
C1006,L106,2026-03-05,產品推廣,0
C1006,L106,2026-04-04,產品推廣,0
C1006,L106,2026-04-27,關係維護,0
C1006,L106,2026-04-19,產品推廣,0
C1006,L106,2026-05-28,產品推廣,0
C1006,L106,2026-05-22,產品推廣,0
C1006,L106,2026-05-16,產品推廣,0
C1006,L106,2026-06-14,關係維護,0
C1006,L106,2026-06-23,產品推廣,0
C1006,L106,2026-06-23,產品推廣,0
C1007,L110,2025-02-07,關係維護,1
C1007,L110,2025-03-04,產品推廣,0
C1007,L110,2025-03-04,關係維護,0
C1007,L110,2025-04-29,關係維護,1
C1007,L110,2025-04-12,產品推廣,0
C1007,L110,2025-04-12,產品推廣,1
C1007,L110,2025-06-08,產品推廣,1
C1007,L110,2025-06-09,關係維護,1
C1007,L110,2025-07-18,關係維護,0
C1007,L110,2025-07-12,產品推廣,0
C1007,L110,2025-07-23,產品推廣,1
C1007,L110,2025-08-29,產品推廣,1
C1007,L110,2025-09-23,關係維護,1
C1007,L110,2025-10-14,收款,0
C1007,L110,2025-11-09,關係維護,0
C1007,L110,2025-11-12,客訴處理,1
C1007,L110,2025-11-09,產品推廣,0
C1007,L110,2025-12-17,收款,0
C1007,L110,2025-12-26,關係維護,0
C1007,L110,2026-01-21,客訴處理,1
C1007,L110,2026-02-03,客訴處理,0
C1007,L110,2026-02-11,產品推廣,0
C1007,L110,2026-04-07,產品推廣,0
C1007,L110,2026-04-23,關係維護,0
C1007,L110,2026-06-07,客訴處理,0
C1007,L110,2026-07-14,產品推廣,0
C1007,L110,2026-07-20,產品推廣,1
C1007,L110,2026-07-28,收款,0
C1008,L115,2025-02-26,產品推廣,0
C1008,L115,2025-05-14,收款,0
C1008,L115,2025-07-18,產品推廣,0
C1008,L115,2025-09-09,產品推廣,0
C1008,L115,2025-12-04,客訴處理,0
C1008,L115,2026-02-12,產品推廣,0
C1008,L115,2026-02-21,產品推廣,0
C1008,L115,2026-02-23,產品推廣,0
C1008,L115,2026-02-26,產品推廣,0
C1008,L115,2026-04-18,產品推廣,0
C1008,L115,2026-05-21,產品推廣,0
C1008,L115,2026-06-17,產品推廣,0
C1008,L115,2026-06-20,產品推廣,0
C1009,L104,2025-04-06,產品推廣,0
C1009,L104,2025-04-19,關係維護,0
C1009,L104,2025-05-08,產品推廣,0
C1009,L104,2025-08-21,產品推廣,0
C1009,L104,2025-09-12,產品推廣,0
C1009,L104,2025-12-28,關係維護,0
C1009,L104,2025-12-14,收款,0
C1009,L104,2026-04-01,關係維護,0
C1009,L104,2026-04-04,產品推廣,0
C1010,L105,2025-03-18,關係維護,0
C1010,L105,2025-04-05,關係維護,1
C1010,L105,2025-03-23,關係維護,0
C1010,L105,2025-03-31,關係維護,1
C1010,L105,2025-04-21,關係維護,1
C1010,L105,2025-05-04,客訴處理,0
C1010,L105,2025-04-24,產品推廣,0
C1010,L105,2025-05-20,收款,0
C1010,L105,2025-05-09,產品推廣,1
C1010,L105,2025-06-24,關係維護,0
C1010,L105,2025-08-22,產品推廣,0
C1010,L105,2025-08-28,產品推廣,0
C1010,L105,2025-09-13,產品推廣,0
C1010,L105,2025-09-28,產品推廣,0
C1010,L105,2025-09-17,產品推廣,0
C1010,L105,2025-10-20,關係維護,0
C1010,L105,2025-10-09,關係維護,0
C1010,L105,2025-10-15,收款,1
C1010,L105,2025-11-29,關係維護,1
C1010,L105,2025-12-27,產品推廣,1
C1010,L105,2026-01-20,收款,0
C1010,L105,2026-01-31,關係維護,1
C1010,L105,2026-01-08,收款,0
C1010,L105,2026-01-05,產品推廣,0
C1010,L105,2026-02-09,收款,0
C1010,L105,2026-02-27,產品推廣,0
C1010,L105,2026-02-19,關係維護,0
C1010,L105,2026-04-14,收款,0
C1010,L105,2026-04-05,關係維護,1
C1010,L105,2026-04-17,產品推廣,1
C1010,L105,2026-05-26,收款,1
C1010,L105,2026-06-23,收款,0
C1010,L105,2026-06-25,產品推廣,0
C1010,L105,2026-06-22,產品推廣,1
C1010,L105,2026-06-24,關係維護,0
C1010,L105,2026-07-14,關係維護,0
C1011,L105,2025-02-27,收款,0
C1011,L105,2025-04-01,產品推廣,0
C1011,L105,2025-07-16,關係維護,0
C1011,L105,2025-07-22,產品推廣,0
C1011,L105,2025-08-11,產品推廣,0
C1011,L105,2025-09-07,收款,0
C1011,L105,2025-10-12,產品推廣,0
C1011,L105,2025-11-20,產品推廣,0
C1011,L105,2026-01-26,關係維護,0
C1011,L105,2026-01-06,產品推廣,0
C1011,L105,2026-03-13,產品推廣,0
C1011,L105,2026-04-10,產品推廣,0
C1011,L105,2026-04-27,產品推廣,0
C1011,L105,2026-05-27,產品推廣,0
C1011,L105,2026-07-26,產品推廣,0
C1012,L102,2025-04-03,產品推廣,0
C1012,L102,2025-03-09,關係維護,1
C1012,L102,2025-06-05,產品推廣,1
C1012,L102,2025-05-15,產品推廣,0
C1012,L102,2025-06-30,產品推廣,1
C1012,L102,2025-07-19,關係維護,0
C1012,L102,2025-08-26,產品推廣,0
C1012,L102,2025-09-26,產品推廣,1
C1012,L102,2025-09-24,關係維護,0
C1012,L102,2025-12-14,關係維護,0
C1012,L102,2025-12-28,收款,0
C1012,L102,2025-12-07,關係維護,1
C1012,L102,2026-01-21,產品推廣,1
C1012,L102,2026-01-07,收款,0
C1012,L102,2026-02-27,收款,0
