interaction_id,target_type,target_id,rep_id,occurred_at,channel,summary_tag,note,next_step,due_date,resolved,competitor_mentioned
I_A001_1,account,A001,R100,2026-06-26,visit,product_demo,例行拜訪，關係穩定,,,True,False
I_A001_2,account,A001,R100,2026-07-06,interaction,follow_up,承諾補送醫材資料，未完成,補送醫材資料,2026-07-21,False,False
I_A002_1,account,A002,R100,2026-08-15,phone,service,客訴：上批貨品破損未退換,確認退換貨進度,2026-08-22,False,False
I_A003_1,account,A003,R100,2026-08-05,visit,product_demo,例行拜訪，關係正常,,,True,False
I_A005_1,account,A005,R100,2026-08-10,visit,competitor,醫師提到另一家廠商業務頻繁來訪、報價更低,,,False,True
I_A007_1,account,A007,R100,2026-08-05,visit,product_demo,例行拜訪，狀況穩定,,,True,False
I_A008_1,account,A008,R100,2026-08-05,visit,product_demo,例行拜訪，狀況穩定,,,True,False
I_A009_1,account,A009,R100,2026-08-05,visit,product_demo,例行拜訪，狀況穩定,,,True,False
I_A010_1,account,A010,R100,2026-08-05,visit,product_demo,例行拜訪，狀況穩定,,,True,False
I_R101_A003_1,account,R101_A003,R101,2026-08-10,visit,service,例行互動紀錄,,,True,False
I_R101_A005_1,account,R101_A005,R101,2026-08-23,visit,service,例行互動紀錄,,,True,False
I_R101_A009_1,account,R101_A009,R101,2026-07-01,visit,follow_up,例行互動紀錄,,,True,False
I_R102_A001_1,account,R102_A001,R102,2026-07-07,phone,service,例行互動紀錄,,,True,False
I_R102_A002_1,account,R102_A002,R102,2026-07-22,visit,follow_up,例行互動紀錄,,,True,False
I_R102_A003_1,account,R102_A003,R102,2026-07-18,visit,follow_up,例行互動紀錄,,,True,False
I_R102_A004_1,account,R102_A004,R102,2026-08-14,phone,product_demo,例行互動紀錄,,,True,False
I_R102_A006_1,account,R102_A006,R102,2026-07-09,visit,follow_up,例行互動紀錄,,,True,False
